customer_name,city,category,product,quantity,unit_price,total_price,order_date,order_id
Laura Summers,Kermanshah,Electronics,Smart Watch,1,250.0,250.0,2024-01-01,891
Carol Solis,Qom,Sports,Fitness Band,5,90.0,450.0,2024-01-01,7984
Mrs. Ashley Brown,Tabriz,Books,Algorithms,2,70.0,140.0,2024-01-01,4582
Joseph Stevenson,Qom,Electronics,Smartphone,3,800.0,2400.0,2024-01-01,7765
Glenn Mcguire,Kermanshah,Books,Data Science Handbook,3,60.0,180.0,2024-01-01,5390
Amy Stewart,Rasht,Electronics,Headphones,4,150.0,600.0,2024-01-01,2976
Kelly Hoover,Shiraz,Books,Python Programming,5,45.0,225.0,2024-01-01,2958
Rodney Oconnell,Qom,Electronics,Laptop,5,1200.0,6000.0,2024-01-01,4338
Meghan Hebert,Qom,Home Appliances,Air Conditioner,3,2000.0,6000.0,2024-01-01,9993
Jessica Olson,Mashhad,Books,Clean Code,2,55.0,110.0,2024-01-01,4874
Christopher Allen,Tehran,Electronics,Smart Watch,1,250.0,250.0,2024-01-01,9895
Jared Evans,Isfahan,Sports,Running Shoes,3,120.0,360.0,2024-01-01,6458
Roy Newman,Isfahan,Electronics,Smart Watch,1,250.0,250.0,2024-01-01,4945
Daniel Gray,Ahvaz,Books,Machine Learning,4,80.0,320.0,2024-01-01,1130
Anthony Reed,Isfahan,Home Appliances,Air Conditioner,5,2000.0,10000.0,2024-01-02,5118
Patricia Martin,Kermanshah,Home Appliances,Microwave,2,220.0,440.0,2024-01-02,2992
Amber Torres,Shiraz,Books,Algorithms,5,70.0,350.0,2024-01-02,9455
Anthony Hood,Isfahan,Electronics,Smartphone,3,800.0,2400.0,2024-01-02,9779
Samantha Cooper,Rasht,Sports,Running Shoes,1,120.0,120.0,2024-01-02,3017
Hunter Rush,Mashhad,Books,Python Programming,1,45.0,45.0,2024-01-02,6644
Kimberly Edwards,Tabriz,Home Appliances,Vacuum Cleaner,1,300.0,300.0,2024-01-02,5893
Kevin Williams,Ahvaz,Electronics,Headphones,4,150.0,600.0,2024-01-02,2451
John Stokes,Tabriz,Electronics,Laptop,2,1200.0,2400.0,2024-01-02,4179
Susan Baker,Karaj,Home Appliances,Microwave,5,220.0,1100.0,2024-01-02,4272
Charles Edwards,Isfahan,Sports,Football,5,30.0,150.0,2024-01-03,4329
Jose Mcmillan,Rasht,Electronics,Tablet,2,500.0,1000.0,2024-01-03,8803
Cindy Armstrong,Tabriz,Books,Data Science Handbook,2,60.0,120.0,2024-01-03,1583
Megan Simpson,Kermanshah,Sports,Tennis Racket,2,180.0,360.0,2024-01-03,382
Christopher Gutierrez,Isfahan,Home Appliances,Washing Machine,4,1500.0,6000.0,2024-01-03,5294
Alexis Solomon,Mashhad,Books,Machine Learning,5,80.0,400.0,2024-01-03,2960
Whitney Evans,Qom,Sports,Football,4,30.0,120.0,2024-01-03,7049
Latasha Martin,Karaj,Books,Python Programming,2,45.0,90.0,2024-01-03,2069
Jordan Taylor,Rasht,Sports,Fitness Band,1,90.0,90.0,2024-01-03,4226
Kevin Murphy,Rasht,Electronics,Smartphone,1,800.0,800.0,2024-01-03,9126
Lisa Carroll,Kermanshah,Home Appliances,Air Conditioner,1,2000.0,2000.0,2024-01-03,5307
James Lester,Isfahan,Sports,Tennis Racket,5,180.0,900.0,2024-01-03,1484
Gary Parker,Qom,Books,Clean Code,5,55.0,275.0,2024-01-03,8259
Renee Kennedy,Rasht,Home Appliances,Washing Machine,3,1500.0,4500.0,2024-01-03,187
David Hurley,Tehran,Electronics,Tablet,3,500.0,1500.0,2024-01-04,7811
Brian Terry,Rasht,Home Appliances,Vacuum Cleaner,4,300.0,1200.0,2024-01-04,1269
Carolyn Clark,Tehran,Sports,Basketball,4,35.0,140.0,2024-01-04,2518
Ronald Arnold,Kermanshah,Books,Algorithms,1,70.0,70.0,2024-01-04,7434
Shannon Hoffman,Mashhad,Electronics,Smart Watch,5,250.0,1250.0,2024-01-04,9219
Natalie Blake,Karaj,Home Appliances,Refrigerator,3,1800.0,5400.0,2024-01-04,4703
Oscar Swanson,Isfahan,Home Appliances,Washing Machine,4,1500.0,6000.0,2024-01-04,5403
Karina Hodges,Shiraz,Electronics,Laptop,2,1200.0,2400.0,2024-01-04,4087
Rachel Cook,Karaj,Electronics,Smart Watch,4,250.0,1000.0,2024-01-04,8560
Glenn Nelson,Tabriz,Electronics,Tablet,2,500.0,1000.0,2024-01-04,2004
Danielle Ochoa,Isfahan,Books,Data Science Handbook,2,60.0,120.0,2024-01-04,4330
Destiny Allen,Mashhad,Books,Python Programming,1,45.0,45.0,2024-01-04,1861
James Martin,Isfahan,Books,Machine Learning,4,80.0,320.0,2024-01-04,1988
Shane Morris,Kermanshah,Electronics,Laptop,2,1200.0,2400.0,2024-01-04,1404
Sierra Martinez,Tehran,Electronics,Smartphone,3,800.0,2400.0,2024-01-04,6202
Heather Brady,Ahvaz,Sports,Tennis Racket,3,180.0,540.0,2024-01-05,738
Linda Rodriguez,Karaj,Books,Machine Learning,2,80.0,160.0,2024-01-05,8175
Todd White,Qom,Books,Algorithms,4,70.0,280.0,2024-01-05,6271
Joshua Hopkins,Rasht,Electronics,Laptop,1,1200.0,1200.0,2024-01-05,373
Michelle Bell,Isfahan,Home Appliances,Vacuum Cleaner,4,300.0,1200.0,2024-01-05,1812
Jeremy Bryan,Kermanshah,Books,Clean Code,1,55.0,55.0,2024-01-05,8786
Meredith Perkins,Tehran,Electronics,Headphones,3,150.0,450.0,2024-01-05,9833
Gregory Parks,Ahvaz,Home Appliances,Air Conditioner,4,2000.0,8000.0,2024-01-05,4948
Brian Huff,Ahvaz,Electronics,Smart Watch,4,250.0,1000.0,2024-01-05,7840
Matthew Ferguson,Qom,Electronics,Headphones,2,150.0,300.0,2024-01-05,2583
Andrea Mccoy,Kermanshah,Sports,Football,4,30.0,120.0,2024-01-05,2527
Henry Mayo,Rasht,Electronics,Laptop,1,1200.0,1200.0,2024-01-05,6711
Maria Dunn,Mashhad,Electronics,Headphones,4,150.0,600.0,2024-01-05,6982
Veronica Wright,Kermanshah,Books,Python Programming,4,45.0,180.0,2024-01-06,2208
Kendra Estrada,Qom,Home Appliances,Washing Machine,5,1500.0,7500.0,2024-01-06,1162
Dr. George Harding,Isfahan,Books,Machine Learning,3,80.0,240.0,2024-01-06,6814
George Haas,Tehran,Books,Data Science Handbook,3,60.0,180.0,2024-01-06,6979
David Kelley,Tabriz,Electronics,Tablet,5,500.0,2500.0,2024-01-06,8294
Lisa Johnson,Ahvaz,Books,Clean Code,5,55.0,275.0,2024-01-06,4190
Jerry Dunn,Rasht,Electronics,Headphones,2,150.0,300.0,2024-01-06,7075
Teresa Walters,Rasht,Home Appliances,Vacuum Cleaner,3,300.0,900.0,2024-01-06,1240
Zachary Torres,Rasht,Books,Python Programming,5,45.0,225.0,2024-01-06,965
Shelly Gallagher,Kermanshah,Books,Python Programming,3,45.0,135.0,2024-01-06,5487
Jennifer Pittman,Karaj,Books,Algorithms,3,70.0,210.0,2024-01-06,3782
Valerie Abbott,Tehran,Home Appliances,Washing Machine,2,1500.0,3000.0,2024-01-06,3435
Amy Wallace,Tehran,Books,Python Programming,4,45.0,180.0,2024-01-06,3903
Rebekah Khan,Isfahan,Books,Data Science Handbook,4,60.0,240.0,2024-01-06,7767
David Dorsey,Karaj,Home Appliances,Refrigerator,4,1800.0,7200.0,2024-01-06,9462
Douglas Coleman,Tabriz,Home Appliances,Air Conditioner,2,2000.0,4000.0,2024-01-06,1139
Courtney Mcintosh,Tehran,Home Appliances,Washing Machine,2,1500.0,3000.0,2024-01-06,8468
Jennifer Dean,Ahvaz,Books,Algorithms,4,70.0,280.0,2024-01-07,5336
Larry Schultz,Karaj,Books,Algorithms,3,70.0,210.0,2024-01-07,7621
Patty Cruz,Qom,Sports,Basketball,2,35.0,70.0,2024-01-07,660
Tiffany Young,Tabriz,Sports,Running Shoes,4,120.0,480.0,2024-01-07,2475
Nicole Parker,Qom,Sports,Fitness Band,2,90.0,180.0,2024-01-07,138
Derrick Robinson,Rasht,Books,Machine Learning,2,80.0,160.0,2024-01-07,5428
Joshua Cooper,Rasht,Sports,Running Shoes,1,120.0,120.0,2024-01-07,2404
Angela Waters,Shiraz,Books,Algorithms,5,70.0,350.0,2024-01-07,2668
Maria Wheeler,Rasht,Books,Algorithms,2,70.0,140.0,2024-01-07,6436
Judith Powell,Kermanshah,Home Appliances,Air Conditioner,4,2000.0,8000.0,2024-01-07,9981
Samantha Thompson,Rasht,Books,Data Science Handbook,1,60.0,60.0,2024-01-07,8735
Alexander Alvarez,Tabriz,Sports,Football,5,30.0,150.0,2024-01-07,1729
John Watson,Tehran,Books,Python Programming,5,45.0,225.0,2024-01-07,2056
Robert Jordan,Karaj,Sports,Basketball,4,35.0,140.0,2024-01-08,3972
Heather Aguilar,Qom,Electronics,Headphones,5,150.0,750.0,2024-01-08,7994
Steven Leach,Kermanshah,Sports,Football,5,30.0,150.0,2024-01-08,5648
Brian Daniel,Isfahan,Home Appliances,Washing Machine,2,1500.0,3000.0,2024-01-08,1043
Ian Baker,Isfahan,Books,Clean Code,2,55.0,110.0,2024-01-08,3113
Alexandra Garcia,Mashhad,Electronics,Tablet,3,500.0,1500.0,2024-01-08,3302
Jack Hurley,Isfahan,Electronics,Headphones,2,150.0,300.0,2024-01-08,6616
Stephanie Austin,Rasht,Electronics,Smart Watch,1,250.0,250.0,2024-01-08,9037
Tamara Warren,Isfahan,Sports,Tennis Racket,1,180.0,180.0,2024-01-08,8015
Susan Reed,Karaj,Books,Machine Learning,1,80.0,80.0,2024-01-09,7192
Daniel Mclaughlin,Qom,Electronics,Tablet,1,500.0,500.0,2024-01-09,7232
Tracy Roberts,Ahvaz,Home Appliances,Air Conditioner,5,2000.0,10000.0,2024-01-09,116
Philip Miller,Qom,Sports,Basketball,2,35.0,70.0,2024-01-09,7956
Steven Rivera,Ahvaz,Electronics,Smart Watch,2,250.0,500.0,2024-01-09,8012
Ms. Lisa Thornton,Karaj,Home Appliances,Vacuum Cleaner,4,300.0,1200.0,2024-01-09,9581
Caleb Norris,Karaj,Books,Data Science Handbook,4,60.0,240.0,2024-01-09,6855
Kendra Robertson,Rasht,Home Appliances,Air Conditioner,2,2000.0,4000.0,2024-01-09,8986
Tina George,Tabriz,Home Appliances,Air Conditioner,3,2000.0,6000.0,2024-01-09,8648
Mr. James Vaughn,Mashhad,Electronics,Smart Watch,1,250.0,250.0,2024-01-09,3603
Diana Roberts,Rasht,Home Appliances,Refrigerator,4,1800.0,7200.0,2024-01-09,4359
Patty Anthony,Qom,Sports,Fitness Band,1,90.0,90.0,2024-01-09,2571
Carlos Owen,Kermanshah,Electronics,Smart Watch,5,250.0,1250.0,2024-01-09,9914
Lynn Grant,Tehran,Books,Algorithms,4,70.0,280.0,2024-01-10,904
Amanda Smith,Mashhad,Electronics,Laptop,3,1200.0,3600.0,2024-01-10,6438
John Brown,Qom,Sports,Basketball,2,35.0,70.0,2024-01-10,6522
Joseph French,Tehran,Books,Algorithms,3,70.0,210.0,2024-01-10,2489
Andrea Wilson,Kermanshah,Books,Algorithms,3,70.0,210.0,2024-01-10,4258
Jonathan Rice,Qom,Sports,Basketball,4,35.0,140.0,2024-01-10,9673
Amy Graham,Shiraz,Sports,Tennis Racket,2,180.0,360.0,2024-01-10,3844
Tammy Wood,Shiraz,Books,Machine Learning,4,80.0,320.0,2024-01-10,8103
Victor Cervantes,Isfahan,Electronics,Headphones,2,150.0,300.0,2024-01-10,4030
Adam Hammond,Tabriz,Electronics,Headphones,5,150.0,750.0,2024-01-10,4206
Robert Ryan,Shiraz,Electronics,Headphones,1,150.0,150.0,2024-01-10,6864
Debra Griffin,Ahvaz,Home Appliances,Washing Machine,2,1500.0,3000.0,2024-01-10,3680
Dawn Morris,Qom,Books,Algorithms,3,70.0,210.0,2024-01-10,6471
Julia Hernandez,Kermanshah,Home Appliances,Vacuum Cleaner,5,300.0,1500.0,2024-01-10,5767
Andrew Frey,Isfahan,Sports,Running Shoes,1,120.0,120.0,2024-01-10,9240
James Russell,Tehran,Home Appliances,Air Conditioner,5,2000.0,10000.0,2024-01-11,767
Cathy Adams,Tehran,Electronics,Smartphone,2,800.0,1600.0,2024-01-11,623
David Miller,Ahvaz,Books,Algorithms,1,70.0,70.0,2024-01-11,1540
Michael Hernandez,Rasht,Electronics,Headphones,4,150.0,600.0,2024-01-11,190
Beth Miller,Shiraz,Electronics,Headphones,2,150.0,300.0,2024-01-11,8379
Richard Mccullough,Kermanshah,Books,Clean Code,3,55.0,165.0,2024-01-11,8413
James Jimenez,Rasht,Electronics,Laptop,3,1200.0,3600.0,2024-01-11,1551
Sarah Mason,Qom,Sports,Basketball,3,35.0,105.0,2024-01-11,8997
Matthew Bell Jr.,Karaj,Electronics,Smartphone,5,800.0,4000.0,2024-01-11,2126
Steven Weber,Kermanshah,Home Appliances,Washing Machine,1,1500.0,1500.0,2024-01-11,9299
Henry Cabrera,Isfahan,Sports,Tennis Racket,3,180.0,540.0,2024-01-11,9844
Matthew Smith,Tabriz,Sports,Football,2,30.0,60.0,2024-01-11,2329
Janet Thomas,Isfahan,Home Appliances,Air Conditioner,1,2000.0,2000.0,2024-01-11,6445
Charles Shaw,Mashhad,Sports,Tennis Racket,4,180.0,720.0,2024-01-11,1600
Lisa Dean,Isfahan,Books,Clean Code,5,55.0,275.0,2024-01-11,2216
Kevin Patterson,Kermanshah,Books,Clean Code,3,55.0,165.0,2024-01-11,1978
Guy Rodriguez,Tehran,Home Appliances,Refrigerator,1,1800.0,1800.0,2024-01-11,3536
Michael Gonzales,Mashhad,Sports,Running Shoes,5,120.0,600.0,2024-01-11,325
Karen Gibson,Rasht,Sports,Tennis Racket,2,180.0,360.0,2024-01-11,7813
Mike Middleton,Rasht,Electronics,Smartphone,3,800.0,2400.0,2024-01-12,9742
Brad Santos,Tabriz,Books,Clean Code,1,55.0,55.0,2024-01-12,6737
John Obrien,Tabriz,Books,Algorithms,5,70.0,350.0,2024-01-12,7231
Michelle Hart,Rasht,Books,Clean Code,2,55.0,110.0,2024-01-12,2875
Brandi Miles,Kermanshah,Home Appliances,Washing Machine,2,1500.0,3000.0,2024-01-12,7113
Ryan Lewis,Qom,Books,Clean Code,1,55.0,55.0,2024-01-12,8459
Maria Johnson,Qom,Sports,Tennis Racket,4,180.0,720.0,2024-01-12,7105
Billy Calderon,Kermanshah,Electronics,Smart Watch,1,250.0,250.0,2024-01-12,6784
Judy Payne,Isfahan,Electronics,Laptop,5,1200.0,6000.0,2024-01-12,4981
Joshua Smith,Shiraz,Home Appliances,Microwave,3,220.0,660.0,2024-01-12,3345
Virginia Lopez,Ahvaz,Electronics,Smartphone,2,800.0,1600.0,2024-01-12,9479
Lindsay Davis,Kermanshah,Home Appliances,Vacuum Cleaner,1,300.0,300.0,2024-01-12,580
Shannon Steele,Qom,Home Appliances,Microwave,5,220.0,1100.0,2024-01-12,1441
Andrea Warner,Isfahan,Electronics,Laptop,5,1200.0,6000.0,2024-01-13,3617
Ryan Park,Mashhad,Books,Data Science Handbook,3,60.0,180.0,2024-01-13,7957
Charles Acosta,Tabriz,Electronics,Smartphone,1,800.0,800.0,2024-01-13,1348
Pamela Prince,Karaj,Sports,Basketball,5,35.0,175.0,2024-01-13,5937
Charles Nicholson,Kermanshah,Electronics,Smart Watch,3,250.0,750.0,2024-01-13,2984
Whitney Elliott,Ahvaz,Books,Python Programming,4,45.0,180.0,2024-01-13,8298
Megan Massey,Shiraz,Books,Machine Learning,2,80.0,160.0,2024-01-13,4553
Jessica Myers,Karaj,Books,Algorithms,5,70.0,350.0,2024-01-13,9039
John Garcia,Rasht,Books,Machine Learning,2,80.0,160.0,2024-01-14,8693
Gerald Walker,Shiraz,Sports,Tennis Racket,3,180.0,540.0,2024-01-14,8969
Ashley Wilcox,Karaj,Sports,Running Shoes,3,120.0,360.0,2024-01-14,2697
Mitchell Turner,Tehran,Books,Algorithms,5,70.0,350.0,2024-01-14,5231
William Miller,Rasht,Electronics,Tablet,5,500.0,2500.0,2024-01-14,9925
Lori King,Shiraz,Sports,Basketball,5,35.0,175.0,2024-01-14,4745
Cody Vargas,Karaj,Home Appliances,Washing Machine,5,1500.0,7500.0,2024-01-14,2530
Heather Davis,Kermanshah,Books,Data Science Handbook,4,60.0,240.0,2024-01-14,3865
Robert Herrera,Tabriz,Sports,Tennis Racket,1,180.0,180.0,2024-01-14,1683
Steven Carter,Ahvaz,Electronics,Smart Watch,2,250.0,500.0,2024-01-14,1319
