customer_name,city,category,product,quantity,unit_price,total_price,order_date,order_id
Gary Gates,Mashhad,Home Appliances,Washing Machine,2,1500,3000,2025-11-10,1
Roger Garza,Rasht,Electronics,Headphones,2,150,300,2024-08-26,2
Justin Clark,Tehran,Home Appliances,Refrigerator,5,1800,9000,2025-07-26,3
Martin Bennett,Tehran,Sports,Football,1,30,30,2024-10-10,4
Taylor Brown,Kermanshah,Books,Clean Code,1,55,55,2025-05-29,5
Katherine Olsen,Mashhad,Electronics,Laptop,1,1200,1200,2024-08-25,6
Amy Kim,Qom,Books,Machine Learning,2,80,160,2025-01-03,7
Jordan Lambert,Rasht,Books,Algorithms,5,70,350,2024-11-12,8
Kristin Wall,Shiraz,Electronics,Laptop,5,1200,6000,2024-06-01,9
Pamela Bradshaw,Mashhad,Books,Algorithms,5,70,350,2025-05-09,10
Dennis Love,Tehran,Electronics,Tablet,2,500,1000,2024-02-10,11
Suzanne Chen,Tehran,Books,Machine Learning,1,80,80,2025-01-08,12
Carol Brown,Tabriz,Books,Algorithms,4,70,280,2024-10-02,13
Joshua Baker,Ahvaz,Books,Data Science Handbook,1,60,60,2024-03-26,14
Charles Stewart,Karaj,Books,Data Science Handbook,3,60,180,2024-05-25,15
Gilbert Beard,Qom,Books,Clean Code,3,55,165,2024-07-12,16
Tiffany Eaton,Mashhad,Home Appliances,Vacuum Cleaner,1,300,300,2024-11-11,17
Victor Byrd,Isfahan,Electronics,Smart Watch,4,250,1000,2024-10-15,18
James Bell,Kermanshah,Home Appliances,Washing Machine,4,1500,6000,2024-03-01,19
David Gibson,Tehran,Home Appliances,Refrigerator,2,1800,3600,2024-05-27,20
Desiree Castro,Qom,Home Appliances,Refrigerator,4,1800,7200,2025-06-16,21
Charles Miller,Tehran,Books,Machine Learning,4,80,320,2025-08-12,22
Kimberly Williams,Tabriz,Electronics,Headphones,1,150,150,2025-01-06,23
Shawn Lewis,Kermanshah,Sports,Running Shoes,3,120,360,2024-04-27,24
Steven Wilson,Karaj,Electronics,Smartphone,1,800,800,2024-03-10,25
Chelsea Gonzalez,Tehran,Home Appliances,Vacuum Cleaner,3,300,900,2025-04-15,26
Kelly Murray,Isfahan,Home Appliances,Air Conditioner,2,2000,4000,2024-03-07,27
Paul Rodriguez,Tehran,Electronics,Smartphone,1,800,800,2024-08-15,28
Stacy Wiley,Tehran,Sports,Fitness Band,1,90,90,2025-05-23,29
Jason Baldwin,Ahvaz,Sports,Running Shoes,2,120,240,2025-10-30,30
Tiffany Turner,Tabriz,Home Appliances,Washing Machine,2,1500,3000,2025-02-25,31
